run,batch_size,interval_scheduler,search_step,start_muon_lr,end_muon_lr,muon_lr,muon_momentum,interval_loss,final_loss
6,10000,exp_linear,1,0.33,0.2,0.2,0.6,0.981977,0.981977
6,10000,exp_linear,1,0.33,0.12,0.12,0.6,0.925194,0.925194
6,10000,exp_linear,1,0.33,0.072,0.072,0.6,0.897755,0.897755
6,10000,exp_linear,1,0.33,0.072,0.072,0.7,0.893833,0.893833
6,10000,exp_linear,1,0.33,0.043,0.043,0.5,0.887834,0.887834
6,10000,exp_linear,1,0.33,0.043,0.043,0.6,0.887269,0.887269
6,10000,exp_linear,1,0.33,0.043,0.043,0.7,0.881938,0.881938
6,10000,exp_linear,1,0.33,0.043,0.043,0.8,0.881403,0.881403
6,10000,exp_linear,1,0.33,0.026,0.026,0.6,0.88237,0.88237
6,10000,exp_linear,1,0.33,0.026,0.026,0.7,0.879906,0.879906
6,10000,exp_linear,1,0.33,0.016,0.016,0.7,0.880725,0.880725
6,10000,exp_linear,1,0.33,0.0093,0.0093,0.7,0.88401,0.88401
6,10000,exp_linear,1,0.2,0.33,0.33,0.6,1.11267,1.11267
6,10000,exp_linear,1,0.2,0.2,0.2,0.5,0.98002,0.98002
6,10000,exp_linear,1,0.2,0.2,0.2,0.6,0.960694,0.960694
6,10000,exp_linear,1,0.2,0.2,0.2,0.7,0.980404,0.980404
6,10000,exp_linear,1,0.2,0.12,0.12,0.5,0.921394,0.921394
6,10000,exp_linear,1,0.2,0.12,0.12,0.6,0.922839,0.922839
6,10000,exp_linear,1,0.2,0.12,0.12,0.7,0.919461,0.919461
6,10000,exp_linear,1,0.2,0.072,0.072,0.5,0.898695,0.898695
6,10000,exp_linear,1,0.2,0.072,0.072,0.6,0.891511,0.891511
6,10000,exp_linear,1,0.2,0.072,0.072,0.7,0.892267,0.892267
6,10000,exp_linear,1,0.2,0.043,0.043,0.6,0.88733,0.88733
6,10000,exp_linear,1,0.2,0.043,0.043,0.7,0.881222,0.881222
6,10000,exp_linear,1,0.2,0.026,0.026,0.6,0.882922,0.882922
6,10000,exp_linear,1,0.2,0.026,0.026,0.7,0.878741,0.878741
6,10000,exp_linear,1,0.2,0.026,0.026,0.8,0.877726,0.877726
6,10000,exp_linear,1,0.2,0.016,0.016,0.6,0.880157,0.880157
6,10000,exp_linear,1,0.2,0.016,0.016,0.7,0.87704,0.87704
6,10000,exp_linear,1,0.2,0.016,0.016,0.8,0.877319,0.877319
6,10000,exp_linear,1,0.2,0.0093,0.0093,0.7,0.87909,0.87909
6,10000,exp_linear,1,0.12,0.33,0.33,0.6,1.123957,1.123957
6,10000,exp_linear,1,0.12,0.2,0.2,0.6,0.9868,0.9868
6,10000,exp_linear,1,0.12,0.12,0.12,0.6,0.933244,0.933244
6,10000,exp_linear,1,0.12,0.072,0.072,0.6,0.900779,0.900779
6,10000,exp_linear,1,0.12,0.043,0.043,0.6,0.890425,0.890425
6,10000,exp_linear,1,0.12,0.043,0.043,0.7,0.884245,0.884245
6,10000,exp_linear,1,0.12,0.026,0.026,0.7,0.879056,0.879056
6,10000,exp_linear,1,0.12,0.016,0.016,0.7,0.879629,0.879629
6,10000,exp_linear,1,0.12,0.0093,0.0093,0.7,0.880186,0.880186
7,10000,linear,1,0.56,0.072,0.072,0.6,0.891619,0.891619
7,10000,linear,1,0.56,0.043,0.043,0.6,0.887486,0.887486
7,10000,linear,1,0.56,0.026,0.026,0.6,0.880699,0.880699
7,10000,linear,1,0.33,0.33,0.33,0.6,1.128558,1.128558
7,10000,linear,1,0.33,0.2,0.2,0.6,0.983948,0.983948
7,10000,linear,1,0.33,0.12,0.12,0.6,0.92348,0.92348
7,10000,linear,1,0.33,0.072,0.072,0.6,0.891107,0.891107
7,10000,linear,1,0.33,0.043,0.043,0.5,0.882838,0.882838
7,10000,linear,1,0.33,0.043,0.043,0.6,0.879891,0.879891
7,10000,linear,1,0.33,0.043,0.043,0.7,0.880921,0.880921
7,10000,linear,1,0.33,0.026,0.026,0.6,0.877075,0.877075
7,10000,linear,1,0.33,0.026,0.026,0.7,0.876269,0.876269
7,10000,linear,1,0.33,0.016,0.016,0.6,0.875228,0.875228
7,10000,linear,1,0.33,0.016,0.016,0.7,0.876108,0.876108
7,10000,linear,1,0.33,0.0093,0.0093,0.6,0.875737,0.875737
7,10000,linear,1,0.33,0.0093,0.0093,0.7,0.875945,0.875945
7,10000,linear,1,0.2,0.33,0.33,0.6,1.115679,1.115679
7,10000,linear,1,0.2,0.2,0.2,0.5,0.973196,0.973196
7,10000,linear,1,0.2,0.2,0.2,0.6,0.9724,0.9724
7,10000,linear,1,0.2,0.2,0.2,0.7,0.984932,0.984932
7,10000,linear,1,0.2,0.12,0.12,0.6,0.916723,0.916723
7,10000,linear,1,0.2,0.072,0.072,0.5,0.894526,0.894526
7,10000,linear,1,0.2,0.072,0.072,0.6,0.894203,0.894203
7,10000,linear,1,0.2,0.072,0.072,0.7,0.895498,0.895498
