round,candidate,step,lr_mult,loss,avg3
38,2,378,0.0443323,3.420308,3.458918
38,2,379,0.0443323,3.451096,3.442762
38,2,380,0.0443323,3.43397,3.435125
39,3,381,0.0443323,3.447422,3.447422
39,3,382,0.0443323,3.490479,3.46895
39,3,383,0.0443323,3.46762,3.468507
39,3,384,0.0443323,3.459326,3.472475
39,3,385,0.0443323,3.441352,3.456099
39,3,386,0.0443323,3.487932,3.46287
39,3,387,0.0443323,3.481438,3.470241
39,3,388,0.0443323,3.476851,3.482074
39,3,389,0.0443323,3.372205,3.443498
39,3,390,0.0443323,3.436005,3.428354
40,3,391,0.0443323,3.440671,3.440671
40,3,392,0.0443323,3.389493,3.415082
40,3,393,0.0443323,3.46191,3.430691
40,3,394,0.0443323,3.428173,3.426525
40,3,395,0.0443323,3.456656,3.448913
40,3,396,0.0443323,3.462822,3.449217
40,3,397,0.0443323,3.43052,3.449999
40,3,398,0.0443323,3.403891,3.432411
40,3,399,0.0443323,3.397382,3.410597
40,3,400,0.0443323,3.451048,3.41744
41,3,401,0.0443323,3.470688,3.470688
41,3,402,0.0443323,3.398857,3.434772
41,3,403,0.0443323,3.430344,3.433296
41,3,404,0.0443323,3.455205,3.428135
41,3,405,0.0443323,3.46619,3.45058
41,3,406,0.0443323,3.396669,3.439355
41,3,407,0.0443323,3.343524,3.402128
41,3,408,0.0443323,3.432991,3.391061
41,3,409,0.0443323,3.395663,3.390726
41,3,410,0.0443323,3.399004,3.409219
42,3,411,0.0443323,3.414009,3.414009
42,3,412,0.0443323,3.419319,3.416664
42,3,413,0.0443323,3.393836,3.409055
42,3,414,0.0443323,3.397036,3.403397
42,3,415,0.0443323,3.432023,3.407632
42,3,416,0.0443323,3.438659,3.422573
42,3,417,0.0443323,3.351775,3.407485
42,3,418,0.0443323,3.296526,3.36232
42,3,419,0.0443323,3.341325,3.329875
42,3,420,0.0443323,3.355232,3.331028
43,2,421,0.0354658,3.3875,3.3875
43,2,422,0.0354658,3.375726,3.381613
43,2,423,0.0354658,3.370125,3.377784
43,2,424,0.0354658,3.485758,3.410536
43,2,425,0.0354658,3.359179,3.40502
43,2,426,0.0354658,3.412982,3.419306
43,2,427,0.0354658,3.427045,3.399735
43,2,428,0.0354658,3.438363,3.42613
43,2,429,0.0354658,3.413763,3.42639
43,2,430,0.0354658,3.381683,3.411269
44,4,431,0.042559,3.383732,3.383732
44,4,432,0.042559,3.383659,3.383695
44,4,433,0.042559,3.451699,3.406363
44,4,434,0.042559,3.387108,3.407489
44,4,435,0.042559,3.464544,3.43445
44,4,436,0.042559,3.397586,3.416413
44,4,437,0.042559,3.459788,3.44064
44,4,438,0.042559,3.37792,3.411765
44,4,439,0.042559,3.365763,3.401157
44,4,440,0.042559,3.35818,3.367287
45,3,441,0.042559,3.437125,3.437125
45,3,442,0.042559,3.397963,3.417544
45,3,443,0.042559,3.414749,3.416612
45,3,444,0.042559,3.421191,3.411301
45,3,445,0.042559,3.380966,3.405635
45,3,446,0.042559,3.388777,3.396978
45,3,447,0.042559,3.431628,3.400457
45,3,448,0.042559,3.430947,3.417117
45,3,449,0.042559,3.467606,3.443394
45,3,450,0.042559,3.435073,3.444542
46,3,451,0.042559,3.390347,3.390347
46,3,452,0.042559,3.453672,3.42201
46,3,453,0.042559,3.364342,3.402787
46,3,454,0.042559,3.470274,3.429429
46,3,455,0.042559,3.349458,3.394691
46,3,456,0.042559,3.419387,3.413039
46,3,457,0.042559,3.482498,3.417114
46,3,458,0.042559,3.418388,3.440091
46,3,459,0.042559,3.361532,3.420806
46,3,460,0.042559,3.37099,3.383637
47,3,461,0.042559,3.464079,3.464079
47,3,462,0.042559,3.465134,3.464606
47,3,463,0.042559,3.418475,3.449229
47,3,464,0.042559,3.437901,3.440503
47,3,465,0.042559,3.45083,3.435735
47,3,466,0.042559,3.386156,3.424962
47,3,467,0.042559,3.453818,3.430268
47,3,468,0.042559,3.349268,3.396414
47,3,469,0.042559,3.359074,3.387387
47,3,470,0.042559,3.399832,3.369391
48,2,471,0.0340472,3.423101,3.423101
48,2,472,0.0340472,3.460912,3.442007
48,2,473,0.0340472,3.486685,3.456899
48,2,474,0.0340472,3.408176,3.451924
48,2,475,0.0340472,3.442734,3.445865
48,2,476,0.0340472,3.404912,3.418607
48,2,477,0.0340472,3.352058,3.399901
48,2,478,0.0340472,3.402222,3.386397
48,2,479,0.0340472,3.358387,3.370889
48,2,480,0.0340472,3.407667,3.389425
49,3,481,0.0340472,3.395393,3.395393
49,3,482,0.0340472,3.442062,3.418728
49,3,483,0.0340472,3.412906,3.416787
49,3,484,0.0340472,3.421746,3.425572
49,3,485,0.0340472,3.424262,3.419638
49,3,486,0.0340472,3.437725,3.427911
49,3,487,0.0340472,3.372936,3.411641
49,3,488,0.0340472,3.379961,3.396874
