source,run,label,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,muon_lr,muon_momentum,selected_muon_nesterov,cooldown_muon_lr,cooldown_muon_momentum,cooldown_muon_nesterov,interval_loss,final_loss,evaluated_interval_configs,evaluated_configs
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,20,40,0.0034,0.6,,0.0012,0.6,,0.86779,0.86723,6,25
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,21,42,0.002,0.6,,0.00073,0.6,,0.867426,0.867153,4,15
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,22,44,0.00073,0.6,,0.00044,0.6,,0.867157,0.867124,5,24
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,23,46,0.00073,0.6,,0.00044,0.6,,0.86713,0.867102,3,11
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,24,48,0.00044,0.6,,,,,0.867103,0.867103,4,4
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,0,0,0.12,0.5,,0.12,0.9,,2.205312,1.489844,10,170
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,1,2,0.12,0.5,,0.043,0.6,,1.458721,1.067623,5,67
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,2,4,0.043,0.6,,0.026,0.6,,1.070868,0.930354,13,115
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,3,6,0.016,0.6,,0.026,0.8,,0.954941,0.893433,11,108
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,4,8,0.026,0.6,,0.0056,0.6,,0.89595,0.883505,8,74
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,5,10,0.016,0.7,,0.0093,0.7,,0.887195,0.875439,10,82
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,6,12,0.0093,0.7,,0.0056,0.7,,0.876151,0.872044,8,70
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,7,14,0.0093,0.7,,0.0056,0.7,,0.874204,0.870214,5,43
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,8,16,0.0056,0.7,,0.0034,0.7,,0.870667,0.8692,8,64
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,9,18,0.0034,0.7,,0.0034,0.7,,0.869128,0.868493,8,55
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,10,20,0.0034,0.8,,0.0034,0.8,,0.868719,0.868019,8,73
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,11,22,0.0034,0.9,,0.0034,0.9,,0.868204,0.867577,7,43
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,12,24,0.002,0.9,,0.0034,0.9,,0.8677,0.867475,6,45
momentum,1,"momentum: run 1 - search_momentum, nesterov=False",search_momentum,True,False,unknown,13,26,0.002,0.8,,0.002,0.8,,0.867624,0.8673,7,46
