run,N,M,final_k_granularity,cooldown_final_k_granularity,step,total_steps,loss,head_lr,muon_lr
5,1,1,0.25,0.25,7,50,1.5982,1072.0,0.056
5,1,1,0.25,0.25,8,50,1.7325,1072.0,0.093
5,1,1,0.25,0.25,9,50,1.5811,1072.0,0.056
5,1,1,0.25,0.25,10,50,1.4935,1072.0,0.033
5,1,1,0.25,0.25,11,50,1.3707,1072.0,0.033
5,1,1,0.25,0.25,12,50,1.2796,1072.0,0.033
5,1,1,0.25,0.25,13,50,1.2208,1072.0,0.02
5,1,1,0.25,0.25,14,50,1.1907,1072.0,0.02
5,1,1,0.25,0.25,15,50,1.1932,1072.0,0.02
5,1,1,0.25,0.25,16,50,1.1998,1072.0,0.02
5,1,1,0.25,0.25,17,50,1.1771,1072.0,0.02
5,1,1,0.25,0.25,18,50,1.1333,1072.0,0.02
5,1,1,0.25,0.25,19,50,1.089,1072.0,0.012
5,1,1,0.25,0.25,20,50,1.0577,1072.0,0.02
5,1,1,0.25,0.25,21,50,1.0356,1072.0,0.012
5,1,1,0.25,0.25,22,50,1.0279,1072.0,0.012
5,1,1,0.25,0.25,23,50,1.0201,1072.0,0.012
5,1,1,0.25,0.25,24,50,1.0206,1072.0,0.012
5,1,1,0.25,0.25,25,50,0.9916,1072.0,0.0072
5,1,1,0.25,0.25,26,50,0.9673,1072.0,0.0072
5,1,1,0.25,0.25,27,50,0.9546,1072.0,0.012
5,1,1,0.25,0.25,28,50,0.941,1072.0,0.012
5,1,1,0.25,0.25,29,50,0.9275,1072.0,0.0072
5,1,1,0.25,0.25,30,50,0.9183,1072.0,0.0093
5,1,1,0.25,0.25,31,50,0.9123,1072.0,0.0072
5,1,1,0.25,0.25,32,50,0.9066,1072.0,0.0056
5,1,1,0.25,0.25,33,50,0.9052,1072.0,0.0056
5,1,1,0.25,0.25,34,50,0.903,1072.0,0.0056
5,1,1,0.25,0.25,35,50,0.9008,1072.0,0.0034
5,1,1,0.25,0.25,36,50,0.899,1072.0,0.0034
5,1,1,0.25,0.25,37,50,0.8993,1072.0,0.0056
5,1,1,0.25,0.25,38,50,0.8973,1072.0,0.0034
5,1,1,0.25,0.25,39,50,0.8938,1072.0,0.002
